DSF,accuracy,
RF_5_t2,0.6185925282363163,
RF_5_t3,0.6794092093831451,
RF_5_t4,0.7280625543006082,
RF_5_t5,0.7749782797567333,
RF_5_t6,0.7732406602953953,
RF_5_t7,0.6099044309296264,
RF_5_t8,0.6099044309296264,
RF_5_t9,0.6099044309296264,
RF_5_t10,0.6099044309296264,
RF_5_t11,0.6099044309296264,
RF_5_t12,0.6099044309296264,
RF_5_t13,0.6099044309296264,
RF_5_t14,0.6099044309296264,
RF_5_t15,0.6099044309296264,
RF_5_t16,0.6099044309296264,
RF_5_t17,0.6099044309296264,
RF_5_t18,0.6099044309296264,
RF_5_t19,0.6099044309296264,
RF_5_t20,0.6099044309296264,
RF_5_t21,0.6099044309296264,
RF_5_t22,0.6099044309296264,
RF_5_t23,0.6099044309296264,
RF_5_t24,0.6099044309296264,
RF_5_t25,0.6099044309296264,
RF_10_t2,0.6168549087749783,
RF_10_t3,0.6177237185056472,
RF_10_t4,0.6255430060816681,
RF_10_t5,0.6177237185056472,
RF_10_t6,0.6003475238922676,
RF_10_t7,0.6003475238922676,
RF_10_t8,0.7767158992180713,
RF_10_t9,0.7767158992180713,
RF_10_t10,0.7767158992180713,
RF_10_t11,0.7767158992180713,
RF_10_t12,0.7767158992180713,
RF_10_t13,0.6099044309296264,
RF_10_t14,0.6099044309296264,
RF_10_t15,0.6099044309296264,
RF_10_t16,0.6099044309296264,
RF_10_t17,0.6099044309296264,
RF_10_t18,0.6099044309296264,
RF_10_t19,0.6099044309296264,
RF_10_t20,0.6099044309296264,
RF_10_t21,0.6099044309296264,
RF_10_t22,0.6099044309296264,
RF_10_t23,0.6099044309296264,
RF_10_t24,0.6099044309296264,
RF_10_t25,0.6099044309296264,
RF_15_t2,0.629018245004344,
RF_15_t3,0.6203301476976543,
RF_15_t4,0.6194613379669852,
RF_15_t5,0.6272806255430061,
RF_15_t6,0.6255430060816681,
RF_15_t7,0.6151172893136403,
RF_15_t8,0.6151172893136403,
RF_15_t9,0.7932232841007819,
RF_15_t10,0.6151172893136403,
RF_15_t11,0.6151172893136403,
RF_15_t12,0.6151172893136403,
RF_15_t13,0.6099044309296264,
RF_15_t14,0.7767158992180713,
RF_15_t15,0.6099044309296264,
RF_15_t16,0.6099044309296264,
RF_15_t17,0.6099044309296264,
RF_15_t18,0.6099044309296264,
RF_15_t19,0.6099044309296264,
RF_15_t20,0.6099044309296264,
RF_15_t21,0.6099044309296264,
RF_15_t22,0.6099044309296264,
RF_15_t23,0.6099044309296264,
RF_15_t24,0.6099044309296264,
RF_15_t25,0.6099044309296264,
RF_20_t2,0.6177237185056472,
RF_20_t3,0.6133796698523023,
RF_20_t4,0.6177237185056472,
RF_20_t5,0.6159860990443093,
RF_20_t6,0.6272806255430061,
RF_20_t7,0.6151172893136403,
RF_20_t8,0.6151172893136403,
RF_20_t9,0.6941789748045178,
RF_20_t10,0.7932232841007819,
RF_20_t11,0.7080799304952216,
RF_20_t12,0.5490877497827976,
RF_20_t13,0.7289313640312771,
RF_20_t14,0.6099044309296264,
RF_20_t15,0.6099044309296264,
RF_20_t16,0.6099044309296264,
RF_20_t17,0.6099044309296264,
RF_20_t18,0.6099044309296264,
RF_20_t19,0.6099044309296264,
RF_20_t20,0.6099044309296264,
RF_20_t21,0.6099044309296264,
RF_20_t22,0.6099044309296264,
RF_20_t23,0.6099044309296264,
RF_20_t24,0.6099044309296264,
RF_20_t25,0.6099044309296264,
Best ,RF_15_t9,0.7932232841007819,
