RF_5_t2,78.3,
RF_5_t3,20.0,
RF_5_t4,7.0,
RF_5_t5,5.0,
RF_5_t6,3.0,
RF_5_t7,0.0,
RF_5_t8,0.0,
RF_5_t9,0.0,
RF_5_t10,0.0,
RF_5_t11,0.0,
RF_5_t12,0.0,
RF_5_t13,0.0,
RF_5_t14,0.0,
RF_5_t15,0.0,
RF_5_t16,0.0,
RF_5_t17,0.0,
RF_5_t18,0.0,
RF_5_t19,0.0,
RF_5_t20,0.0,
RF_5_t21,0.0,
RF_5_t22,0.0,
RF_5_t23,0.0,
RF_5_t24,0.0,
RF_5_t25,0.0,
RF_10_t2,199.1,
RF_10_t3,174.0,
RF_10_t4,82.0,
RF_10_t5,41.0,
RF_10_t6,17.0,
RF_10_t7,12.0,
RF_10_t8,4.0,
RF_10_t9,2.0,
RF_10_t10,2.0,
RF_10_t11,1.0,
RF_10_t12,1.0,
RF_10_t13,0.0,
RF_10_t14,0.0,
RF_10_t15,0.0,
RF_10_t16,0.0,
RF_10_t17,0.0,
RF_10_t18,0.0,
RF_10_t19,0.0,
RF_10_t20,0.0,
RF_10_t21,0.0,
RF_10_t22,0.0,
RF_10_t23,0.0,
RF_10_t24,0.0,
RF_10_t25,0.0,
RF_15_t2,199.9,
RF_15_t3,199.0,
RF_15_t4,193.0,
RF_15_t5,100.0,
RF_15_t6,59.0,
RF_15_t7,32.0,
RF_15_t8,18.0,
RF_15_t9,11.0,
RF_15_t10,7.0,
RF_15_t11,5.0,
RF_15_t12,3.0,
RF_15_t13,2.0,
RF_15_t14,1.0,
RF_15_t15,0.0,
RF_15_t16,0.0,
RF_15_t17,0.0,
RF_15_t18,0.0,
RF_15_t19,0.0,
RF_15_t20,0.0,
RF_15_t21,0.0,
RF_15_t22,0.0,
RF_15_t23,0.0,
RF_15_t24,0.0,
RF_15_t25,0.0,
RF_20_t2,202.1,
RF_20_t3,199.0,
RF_20_t4,199.0,
RF_20_t5,157.0,
RF_20_t6,85.0,
RF_20_t7,55.0,
RF_20_t8,40.0,
RF_20_t9,25.0,
RF_20_t10,15.0,
RF_20_t11,10.0,
RF_20_t12,7.0,
RF_20_t13,3.0,
RF_20_t14,2.0,
RF_20_t15,1.0,
RF_20_t16,0.0,
RF_20_t17,0.0,
RF_20_t18,0.0,
RF_20_t19,0.0,
RF_20_t20,0.0,
RF_20_t21,0.0,
RF_20_t22,0.0,
RF_20_t23,0.0,
RF_20_t24,0.0,
RF_20_t25,0.0,
RF_5,124.2,
RF_10,187.8,
RF_15,249.5,
RF_20,285.3,
